32.10;KAB. MAJALENGKA, JAWA BARAT
76.05;KAB. MAJENE, SULAWESI BARAT
53.21;KAB. MALAKA, NUSA TENGGARA TIMUR
35.07;KAB. MALANG, JAWA TIMUR
65.02;KAB. MALINAU, KALIMANTAN UTARA
81.08;KAB. MALUKU BARAT DAYA, MALUKU
81.01;KAB. MALUKU TENGAH, MALUKU
81.02;KAB. MALUKU TENGGARA, MALUKU
76.03;KAB. MAMASA, SULAWESI BARAT
91.20;KAB. MAMBERAMO RAYA, PAPUA
95.05;KAB. MAMBERAMO TENGAH, PAPUA PEGUNUNGAN
76.02;KAB. MAMUJU, SULAWESI BARAT
76.06;KAB. MAMUJU TENGAH, SULAWESI BARAT
12.13;KAB. MANDAILING NATAL, SUMATERA UTARA
53.10;KAB. MANGGARAI, NUSA TENGGARA TIMUR
53.15;KAB. MANGGARAI BARAT, NUSA TENGGARA TIMUR
53.19;KAB. MANGGARAI TIMUR, NUSA TENGGARA TIMUR
92.02;KAB. MANOKWARI, PAPUA BARAT
92.11;KAB. MANOKWARI SELATAN, PAPUA BARAT
93.03;KAB. MAPPI, PAPUA SELATAN
73.09;KAB. MAROS, SULAWESI SELATAN
92.10;KAB. MAYBRAT, PAPUA BARAT
61.10;KAB. MELAWI, KALIMANTAN BARAT
61.02;KAB. MEMPAWAH, KALIMANTAN BARAT
15.02;KAB. MERANGIN, JAMBI
93.01;KAB. MERAUKE, PAPUA SELATAN
18.11;KAB. MESUJI, LAMPUNG
94.04;KAB. MIMIKA, PAPUA TENGAH
71.02;KAB. MINAHASA, SULAWESI UTARA
71.05;KAB. MINAHASA SELATAN, SULAWESI UTARA
71.07;KAB. MINAHASA TENGGARA, SULAWESI UTARA
71.06;KAB. MINAHASA UTARA, SULAWESI UTARA
35.16;KAB. MOJOKERTO, JAWA TIMUR
72.06;KAB. MOROWALI, SULAWESI TENGAH
72.12;KAB. MOROWALI UTARA, SULAWESI TENGAH
16.03;KAB. MUARA ENIM, SUMATERA SELATAN
15.05;KAB. MUARO JAMBI, JAMBI
17.06;KAB. MUKO MUKO, BENGKULU
74.03;KAB. MUNA, SULAWESI TENGGARA
74.13;KAB. MUNA BARAT, SULAWESI TENGGARA
62.12;KAB. MURUNG RAYA, KALIMANTAN TENGAH
16.06;KAB. MUSI BANYUASIN, SUMATERA SELATAN
16.05;KAB. MUSI RAWAS, SUMATERA SELATAN
16.13;KAB. MUSI RAWAS UTARA, SUMATERA SELATAN
94.01;KAB. NABIRE, PAPUA TENGAH
11.15;KAB. NAGAN RAYA, ACEH
53.16;KAB. NAGEKEO, NUSA TENGGARA TIMUR
21.03;KAB. NATUNA, KEPULAUAN RIAU
95.08;KAB. NDUGA, PAPUA PEGUNUNGAN
53.09;KAB. NGADA, NUSA TENGGARA TIMUR
35.18;KAB. NGANJUK, JAWA TIMUR
35.21;KAB. NGAWI, JAWA TIMUR
12.04;KAB. NIAS, SUMATERA UTARA
12.25;KAB. NIAS BARAT, SUMATERA UTARA
12.14;KAB. NIAS SELATAN, SUMATERA UTARA
12.24;KAB. NIAS UTARA, SUMATERA UTARA
65.03;KAB. NUNUKAN, KALIMANTAN UTARA
16.10;KAB. OGAN ILIR, SUMATERA SELATAN
16.02;KAB. OGAN KOMERING ILIR, SUMATERA SELATAN
16.01;KAB. OGAN KOMERING ULU, SUMATERA SELATAN
16.09;KAB. OGAN KOMERING ULU SELATAN, SUMATERA SELATAN
16.08;KAB. OGAN KOMERING ULU TIMUR, SUMATERA SELATAN
35.01;KAB. PACITAN, JAWA TIMUR
12.21;KAB. PADANG LAWAS, SUMATERA UTARA
12.20;KAB. PADANG LAWAS UTARA, SUMATERA UTARA
13.05;KAB. PADANG PARIAMAN, SUMATERA BARAT
12.15;KAB. PAKPAK BHARAT, SUMATERA UTARA
35.28;KAB. PAMEKASAN, JAWA TIMUR
36.01;KAB. PANDEGLANG, BANTEN
32.18;KAB. PANGANDARAN, JAWA BARAT
73.10;KAB. PANGKAJENE KEPULAUAN, SULAWESI SELATAN
94.03;KAB. PANIAI, PAPUA TENGAH
72.08;KAB. PARIGI MOUTONG, SULAWESI TENGAH
13.08;KAB. PASAMAN, SUMATERA BARAT
13.12;KAB. PASAMAN BARAT, SUMATERA BARAT
76.01;KAB. PASANGKAYU, SULAWESI BARAT
64.01;KAB. PASER, KALIMANTAN TIMUR
35.14;KAB. PASURUAN, JAWA TIMUR
33.18;KAB. PATI, JAWA TENGAH
92.12;KAB. PEGUNUNGAN ARFAK, PAPUA BARAT
95.02;KAB. PEGUNUNGAN BINTANG, PAPUA PEGUNUNGAN
33.26;KAB. PEKALONGAN, JAWA TENGAH
14.05;KAB. PELALAWAN, RIAU
33.27;KAB. PEMALANG, JAWA TENGAH
64.09;KAB. PENAJAM PASER UTARA, KALIMANTAN TIMUR
16.12;KAB. PENUKAL ABAB LEMATANG ILIR, SUMATERA SELATAN
18.09;KAB. PESAWARAN, LAMPUNG
18.13;KAB. PESISIR BARAT, LAMPUNG
13.01;KAB. PESISIR SELATAN, SUMATERA BARAT
11.07;KAB. PIDIE, ACEH
11.18;KAB. PIDIE JAYA, ACEH
73.15;KAB. PINRANG, SULAWESI SELATAN
75.04;KAB. POHUWATO, GORONTALO
76.04;KAB. POLEWALI MANDAR, SULAWESI BARAT
35.02;KAB. PONOROGO, JAWA TIMUR
72.02;KAB. POSO, SULAWESI TENGAH
18.10;KAB. PRINGSEWU, LAMPUNG
35.13;KAB. PROBOLINGGO, JAWA TIMUR
62.11;KAB. PULANG PISAU, KALIMANTAN TENGAH
82.07;KAB. PULAU MOROTAI, MALUKU UTARA
82.08;KAB. PULAU TALIABU, MALUKU UTARA
94.05;KAB. PUNCAK, PAPUA TENGAH
94.02;KAB. PUNCAK JAYA, PAPUA TENGAH
33.03;KAB. PURBALINGGA, JAWA TENGAH
32.14;KAB. PURWAKARTA, JAWA BARAT
33.06;KAB. PURWOREJO, JAWA TENGAH
92.05;KAB. RAJA AMPAT, PAPUA BARAT
17.02;KAB. REJANG LEBONG, BENGKULU
33.17;KAB. REMBANG, JAWA TENGAH
14.07;KAB. ROKAN HILIR, RIAU
14.06;KAB. ROKAN HULU, RIAU
53.14;KAB. ROTE NDAO, NUSA TENGGARA TIMUR
53.20;KAB. SABU RAIJUA, NUSA TENGGARA TIMUR
61.01;KAB. SAMBAS, KALIMANTAN BARAT
12.17;KAB. SAMOSIR, SUMATERA UTARA
35.27;KAB. SAMPANG, JAWA TIMUR
61.03;KAB. SANGGAU, KALIMANTAN BARAT
91.10;KAB. SARMI, PAPUA
15.03;KAB. SAROLANGUN, JAMBI
61.09;KAB. SEKADAU, KALIMANTAN BARAT
17.05;KAB. SELUMA, BENGKULU
33.22;KAB. SEMARANG, JAWA TENGAH
81.06;KAB. SERAM BAGIAN BARAT, MALUKU
81.05;KAB. SERAM BAGIAN TIMUR, MALUKU
36.04;KAB. SERANG, BANTEN
12.18;KAB. SERDANG BEDAGAI, SUMATERA UTARA
62.07;KAB. SERUYAN, KALIMANTAN TENGAH
14.08;KAB. SIAK, RIAU
73.14;KAB. SIDENRENG RAPPANG, SULAWESI SELATAN
35.15;KAB. SIDOARJO, JAWA TIMUR
72.10;KAB. SIGI, SULAWESI TENGAH
13.03;KAB. SIJUNJUNG, SUMATERA BARAT
53.07;KAB. SIKKA, NUSA TENGGARA TIMUR
